Feature Set	Prediction Repeat	Fold	Tuned Mtry	Tuned Min Node Size	Inner Rmse
agora2_model_features	27	3	968	10	0.918183529772335
agora2_model_features	27	4	581	10	0.941895879840992
agora2_model_features	27	5	290	3	1.00406990967785
agora2_model_features	28	1	53	10	0.821207066949843
agora2_model_features	28	2	968	3	0.970621911973536
agora2_model_features	28	3	53	5	1.00966129351003
agora2_model_features	28	4	968	5	1.07540174967814
agora2_model_features	28	5	53	5	0.828786934311769
agora2_model_features	29	1	290	3	0.891935560879581
agora2_model_features	29	2	581	10	0.836060224715511
agora2_model_features	29	3	53	10	0.886816104082153
agora2_model_features	29	4	53	5	0.979445055627238
agora2_model_features	29	5	581	3	0.905586766060499
agora2_model_features	30	1	53	10	0.873450928489696
agora2_model_features	30	2	290	10	0.849408727339534
agora2_model_features	30	3	53	10	0.99859376747378
agora2_model_features	30	4	53	3	0.847638820005548
agora2_model_features	30	5	968	10	0.90100546659586
agora2_model_features	31	1	290	3	0.85375956932817
agora2_model_features	31	2	968	10	0.917550462412976
agora2_model_features	31	3	53	10	0.824646013004691
agora2_model_features	31	4	53	3	0.959736534057745
agora2_model_features	31	5	968	10	1.01416163713969
agora2_model_features	32	1	581	10	1.0167078683939
agora2_model_features	32	2	53	5	1.04026594362889
agora2_model_features	32	3	53	10	0.992721329274544
agora2_model_features	32	4	581	10	0.90063020110626
agora2_model_features	32	5	53	5	0.902901634485064
agora2_model_features	33	1	968	10	0.799733596148402
agora2_model_features	33	2	53	10	0.915790152361972
agora2_model_features	33	3	968	10	0.954482685248079
agora2_model_features	33	4	290	10	0.899264984666969
agora2_model_features	33	5	581	10	0.921295773074495
agora2_model_features	34	1	581	3	1.12498488355478
agora2_model_features	34	2	53	3	0.957200815978185
agora2_model_features	34	3	290	10	0.787492551649794
agora2_model_features	34	4	581	10	0.870063119828839
agora2_model_features	34	5	53	5	0.960487730875245
agora2_model_features	35	1	53	10	0.937026987225636
agora2_model_features	35	2	968	3	0.856906101253248
agora2_model_features	35	3	53	10	0.975233341000911
agora2_model_features	35	4	581	10	1.00001847248041
agora2_model_features	35	5	290	10	0.970338880050982
agora2_model_features	36	1	968	10	0.93381374199754
agora2_model_features	36	2	968	10	0.857665081415552
agora2_model_features	36	3	53	10	0.938142551287919
agora2_model_features	36	4	53	10	0.772591951638071
agora2_model_features	36	5	968	10	0.998211313218729
agora2_model_features	37	1	581	10	0.876349032590517
agora2_model_features	37	2	581	10	1.00629869238557
agora2_model_features	37	3	290	3	0.814242498209856
agora2_model_features	37	4	290	10	0.907092159880367
agora2_model_features	37	5	968	10	1.04416816705997
agora2_model_features	38	1	290	10	0.885372954876243
agora2_model_features	38	2	53	10	1.0109646818615
agora2_model_features	38	3	968	3	0.758588721069594
agora2_model_features	38	4	53	10	0.898776071049581
agora2_model_features	38	5	581	10	0.927527166330972
agora2_model_features	39	1	581	3	0.955274081633072
agora2_model_features	39	2	53	3	0.77149621069283
agora2_model_features	39	3	290	5	1.06419328544525
agora2_model_features	39	4	968	10	0.913667460109751
agora2_model_features	39	5	290	10	0.899410175968689
agora2_model_features	40	1	968	10	0.919483664804574
agora2_model_features	40	2	53	3	0.980938451509837
agora2_model_features	40	3	968	5	0.891112893415063
agora2_model_features	40	4	53	10	0.951682785324131
agora2_model_features	40	5	968	10	0.842272599817389
agora2_model_features	41	1	53	5	1.0981907990522
agora2_model_features	41	2	290	10	0.922780705481635
agora2_model_features	41	3	290	10	0.924179639586371
agora2_model_features	41	4	968	3	0.942512395713436
agora2_model_features	41	5	581	10	0.835580557220659
agora2_model_features	42	1	290	10	0.877742688203171
agora2_model_features	42	2	53	10	1.07057299157608
agora2_model_features	42	3	53	10	0.894202909411997
agora2_model_features	42	4	581	10	0.866575480164966
agora2_model_features	42	5	53	10	1.01596527641791
agora2_model_features	43	1	53	10	0.883455884402131
agora2_model_features	43	2	53	10	0.840722230600257
agora2_model_features	43	3	968	10	0.932386529167532
agora2_model_features	43	4	53	3	0.917985300824791
agora2_model_features	43	5	968	10	0.961216929447488
agora2_model_features	44	1	581	10	0.890222411400493
agora2_model_features	44	2	53	10	1.01008091325446
agora2_model_features	44	3	53	10	0.802123482649331
agora2_model_features	44	4	53	10	0.892371305637109
agora2_model_features	44	5	581	5	0.939169996730198
agora2_model_features	45	1	53	10	0.918272950312716
agora2_model_features	45	2	53	10	0.983795395040379
agora2_model_features	45	3	290	10	0.965180423759822
agora2_model_features	45	4	581	10	0.870404470557503
agora2_model_features	45	5	53	5	0.878745501104495
agora2_model_features	46	1	968	10	1.04545977217175
agora2_model_features	46	2	290	5	0.768375841106339
agora2_model_features	46	3	53	10	0.896648671383825
agora2_model_features	46	4	53	10	0.969625449553817
agora2_model_features	46	5	53	3	0.934926905082292
agora2_model_features	47	1	290	10	1.01058845856748
agora2_model_features	47	2	968	10	0.949284664369247
agora2_model_features	47	3	53	10	0.974728490273162
agora2_model_features	47	4	290	10	0.882756742007595
agora2_model_features	47	5	53	10	0.890403694614992
agora2_model_features	48	1	53	10	1.01529046745889
agora2_model_features	48	2	968	10	1.05140537252999
agora2_model_features	48	3	968	10	0.972296206371299
agora2_model_features	48	4	53	10	0.977536472832358
agora2_model_features	48	5	290	10	0.939959650790153
agora2_model_features	49	1	581	10	1.02850736028791
agora2_model_features	49	2	968	10	0.878968405937641
agora2_model_features	49	3	968	5	0.90413496442242
agora2_model_features	49	4	290	10	0.897728162988241
agora2_model_features	49	5	581	3	0.829797295009287
agora2_model_features	50	1	53	10	0.883683069695194
agora2_model_features	50	2	53	10	0.914674365331999
agora2_model_features	50	3	581	10	0.95634833012441
agora2_model_features	50	4	53	10	0.95249831063473
agora2_model_features	50	5	581	10	0.813845406070781
agora2_reaction	1	1	44	3	0.945908608142273
agora2_reaction	1	2	44	3	0.883859659416421
agora2_reaction	1	3	44	3	0.955752590772348
agora2_reaction	1	4	400	5	0.940381454742642
agora2_reaction	1	5	44	10	0.865002376728186
agora2_reaction	2	1	44	10	1.08066222469383
agora2_reaction	2	2	44	10	0.898925207362156
agora2_reaction	2	3	400	10	0.862805100997563
agora2_reaction	2	4	44	10	0.939009626599074
agora2_reaction	2	5	400	5	0.931391291791137
agora2_reaction	3	1	44	3	0.912923313024257
agora2_reaction	3	2	44	10	0.909162125497497
agora2_reaction	3	3	400	10	0.92085307799047
agora2_reaction	3	4	44	3	0.906577334834226
agora2_reaction	3	5	200	10	0.901118832979541
agora2_reaction	4	1	44	5	0.920091250494462
agora2_reaction	4	2	200	10	1.01456295395164
agora2_reaction	4	3	400	10	0.872830161392334
agora2_reaction	4	4	44	10	0.892045796484409
agora2_reaction	4	5	400	3	1.06082494715441
agora2_reaction	5	1	44	10	0.84129487314638
agora2_reaction	5	2	666	3	0.915780148646056
agora2_reaction	5	3	44	3	0.905397081247109
agora2_reaction	5	4	666	5	0.810305926894498
agora2_reaction	5	5	44	10	0.947830357907348
agora2_reaction	6	1	200	10	0.994763537336101
agora2_reaction	6	2	44	10	0.924305650796896
agora2_reaction	6	3	44	10	0.991270447079404
agora2_reaction	6	4	400	10	0.913447183967962
agora2_reaction	6	5	400	10	0.942600437599288
agora2_reaction	7	1	666	10	0.842074624245946
agora2_reaction	7	2	666	10	0.884359028853423
agora2_reaction	7	3	44	3	0.953936462175268
agora2_reaction	7	4	44	10	0.914056718053463
agora2_reaction	7	5	44	10	1.10684749248942
agora2_reaction	8	1	200	10	0.971127667165691
agora2_reaction	8	2	44	3	0.88117878579524
agora2_reaction	8	3	44	10	1.01695416230126
agora2_reaction	8	4	44	10	0.910747493353191
agora2_reaction	8	5	44	10	0.943602468128883
agora2_reaction	9	1	666	5	0.861960095262243
agora2_reaction	9	2	44	10	0.971397113566636
agora2_reaction	9	3	400	5	1.06176057338959
agora2_reaction	9	4	666	10	0.927322936176954
agora2_reaction	9	5	400	3	0.858538711762764
agora2_reaction	10	1	666	10	0.754623803198665
agora2_reaction	10	2	666	10	0.981896916118694
agora2_reaction	10	3	666	10	0.952010947167244
agora2_reaction	10	4	44	3	1.01437467791171
